accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
GU571522	Kari Rigstad	07-Jun-1992	Norway: Telemark, Jomfruland		58.87 N 9.60 E	Parus major	NHMO-BC490	726	2
GU571519	Roar Solheim	01-Oct-1998	Norway: Vest-Agder, Slevdalsvann		58.088 N 6.647 E	Panurus biarmicus	NHMO-BC128	737	2
GU571517	Ringerike Kommune		Norway: Buskerud, Synneren		60.12 N 10.20 E	Pandion haliaetus	NHMO-BC414	691	1
GU571515	Norsk Polarinstitutt	04-Aug-1984	Norway: Svalbard		81.60 N 21.20 E	Pagophila eburnea	NHMO-BC432	719	3
GU571514	Norsk Polarinstitutt	21-Jul-1984	Norway: Svalbard		78.667 N 25.383 E	Pagophila eburnea	NHMO-BC8	731	2
GU571513	Norsk Polarinstitutt	21-Jul-1984	Norway: Svalbard		81.067 N 26.317 E	Pagophila eburnea	NHMO-BC9	731	2
GU571512	Toril Lohne	01-Jun-2005	Norway: Telemark, Jomfruland		58.87 N 9.60 E	Oenanthe oenanthe	NHMO-BC312	721	2
GU571511	Jan T. Lifjeld	28-May-2001	Norway: Oppland, Oystre Slidre		61.417 N 8.867 E	Oenanthe oenanthe	NHMO-BC55	742	2
GU571508	Tycho Anker-Nilssen	13-Aug-2006	Norway: Nordland, Hernyken		67.42 N 11.87 E	Hydrobates monorhis	NHMO-BC469	723	2
GU571507	Tomas Aarvak	09-Aug-2006	Norway: Nordland, Hernyken		67.42 N 11.87 E	Hydrobates leucorhous	NHMO-BC372	721	2
GU571506	Truls W. Andersen	23-Jul-2004	Norway: Rogaland, Utsira		59.317 N 4.883 E	Hydrobates leucorhous	NHMO-BC34	750	2
GU571505	Jan T. Lifjeld	15-Jun-2005	Norway: Sor-Trondelag, Havmyran		63.50 N 8.67 E	Numenius phaeopus	NHMO-BC368	720	2
GU571504	Terje Lislevand	04-Jul-2004	Norway: Finnmark, Vardo		70.25 N 30.57 E	Numenius phaeopus	NHMO-BC91	715	2
