accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
FJ231517			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		555	0
FJ231516			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		555	0
FJ231515			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		556	0
FJ231514			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		556	0
FJ231513			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		555	0
FJ231512			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		555	0
FJ231511			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		555	0
FJ231510			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		522	0
FJ231509			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		556	0
FJ231508			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		556	0
FJ231507			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		555	0
FJ231506			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		555	0
FJ231505			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		555	0
JN419247			Argentina: Misiones, Iguazu, Parque Nacional Iguazu, Arroyo Yacui		25.66 S 54.16 W	Haplospiza unicolor	MACN-Or-ct 3578	694	2
JN419246			Argentina: Misiones, Gral. Belgrano, Parque Urugua-i, Paraje Maria Soledad		25.85 S 53.98 W	Haplospiza unicolor	MACN-Or-ct 2008	694	2
JN419245			Bolivia: La Paz, Camino Chuspipata		16.03 S 67.81 W	Diglossa sittoides	MACN-Or-ct 3857	694	2
JN419244			Bolivia: La Paz, Camino Chuspipata		16.03 S 67.81 W	Diglossopis cyanea	MACN-Or-ct 3820	694	2
JN419243			Bolivia: La Paz, Camino Chuspipata		16.03 S 67.81 W	Diglossopis cyanea	MACN-Or-ct 3829	694	2
JF499179	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Zosterops japonicus	USNM:641891	694	2
JF499178	Dove, C. J., Gingles, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Zosterops japonicus	USNM:641928	694	2
JF499177	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake ball field		34.1444 N 132.228 E	Vanellus vanellus	USNM:641778	694	2
JF499176	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, softball field near Penny Lake		34.1444 N 132.228 E	Vanellus vanellus	USNM:641781	694	2
JF499175	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Uragus sibiricus	USNM:641788	640	2
JF499174	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Uragus sibiricus	USNM:641883	691	2
JF499173	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Turdus naumanni	USNM:641790	672	2
JF499172	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Turdus naumanni	USNM:641791	694	2
JF499171	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Turdus naumanni	USNM:641792	672	2
JF499170	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Tachybaptus ruficollis	USNM:641782	539	2
JF499169	Whatton, J. F.	19-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gunn Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641799	694	2
JF499168	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gunn Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641857	694	2
JF499167	Escobar, R., Klope, M.	21-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641889	694	2
JF499166	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gun Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641916	694	2
JF499165	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gun Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641917	694	2
JF499164	Gingles, M.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Streptopelia orientalis	USNM:641869	664	2
JF499163	Gingles, M.	12-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Sternula albifrons	USNM:641811	644	2
JF499162	Escobar, R.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Sternula albifrons	USNM:641845	694	2
JF499161	Gingles, M.	08-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Sternula albifrons	USNM:641888	694	2
JF499160	Escobar, R.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gun Park		34.1444 N 132.228 E	Sternula albifrons	USNM:641913	694	2
JF499159	Gingles, M.	22-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, new holding pond		34.1444 N 132.228 E	Podiceps cristatus	USNM:641908	670	2
JF499158	Klope, M.	28-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Phoenicurus auroreus	USNM:641793	637	2
JF499157	Klope, M.	28-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Phoenicurus auroreus	USNM:641794	668	2
JF499156	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Phoenicurus auroreus	USNM:641882	637	2
JF499155	Gingles, M.	05-Mar-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake, SW end		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641774	539	2
JF499154	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641776	670	2
JF499153	Gingles, M.	05-Mar-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake, SW end of runway		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641780	539	2
JF499152	Gingles, M.	28-May-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake, S end of W side runway		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641795	686	2
JF499151	Gingles, M.	12-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641813	692	2
JF499150	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641878	539	2
JF499148	Escobar, R., Klope, M.	21-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Passer montanus	USNM:641805	685	2
JF499146	Dove, C. J., Whatton, J. F.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Motacilla grandis	USNM:641842	694	2
JF499143	Gingles, M.	18-Dec-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Larus argentatus	USNM:641808	668	2
JF499142	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Lanius bucephalus	USNM:641787	680	2
JF499141	Whatton, J. F., Klope, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Lanius bucephalus	USNM:641933	668	2
JF499140	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Microscelis amaurotis	USNM:641900	693	2
JF499139	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Microscelis amaurotis	USNM:641783	680	2
JF499138	Klope, M.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Ixobrychus sinensis	USNM:641867	668	2
JF499137	Whatton, J. F.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Hirundo rustica	USNM:641817	672	2
JF499136	Whatton, J. F.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Hirundo rustica	USNM:641893	680	2
JF499135	Gingles, M., Klope, M.	27-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, old Ordinance Pond		34.1444 N 132.228 E	Gallinula chloropus	USNM:641876	669	2
JF499134	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Gallinago gallinago	USNM:641777	694	2
JF499133	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Fulica atra	USNM:641834	694	2
JF499132	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Schoeniclus spodocephala	USNM:641884	647	2
JF499131	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Emberiza schoeniclus	USNM:641814	639	2
JF499130	Dove, C. J.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Emberiza fucata	USNM:641822	649	2
JF499129	Klope, M., Whatton, J. F.	21-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Emberiza fucata	USNM:641829	649	2
JF499128	Klope, M.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Emberiza fucata	USNM:641894	659	2
JF499127	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Emberiza cioides	USNM:641880	655	2
JF499126	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Emberiza cioides	USNM:641881	667	2
JF499124	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Emberiza cioides	USNM:641896	668	2
JF499122	Gingles, M.	01-May-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Egretta garzetta	USNM:641815	670	2
JF499121	Gingles, M.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Ordinance Pond		34.1444 N 132.228 E	Egretta garzetta	USNM:641864	664	2
JF499120	Escobar, R., Klope, M.	21-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Egretta garzetta	USNM:641903	650	2
JF499119	Gingles, M.	08-Oct-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Corvus macrorhynchos	USNM:641775	641	2
JF499118	Klope, M.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Corvus corone	USNM:641844	665	2
JF499117	Gingles, M.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, new holding pond		34.1444 N 132.228 E	Corvus corone	USNM:641865	674	2
JF499115	Whatton, J. F.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Cisticola juncidis	USNM:641819	668	2
JF499114	Whatton, J. F., Keasler, J.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Cisticola juncidis	USNM:641866	666	2
JF499113	Gingles, M.	08-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Charadrius dubius	USNM:641887	535	2
JF499112	Gingles, M.	04-Nov-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gate 12		34.1444 N 132.228 E	Charadrius alexandrinus	USNM:641773	694	2
JF499111	Gingles, M.	04-Nov-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gate 12		34.1444 N 132.228 E	Charadrius alexandrinus	USNM:641877	694	2
JF499110	Dove, C. J., Whatton, J. F., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Horornis diphone	USNM:641923	693	2
JF499109	Klope, M., Gingles, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Horornis diphone	USNM:641924	693	2
JF499108	Whatton, J. F., Klope, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Horornis diphone	USNM:641930	660	2
JF499107	Whatton, J. F., Klope, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Horornis diphone	USNM:641931	637	2
JF499106	Whatton, J. F., Klope, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Horornis diphone	USNM:641932	693	2
JF499105	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Horornis diphone	USNM:641824	690	2
JF499104	Dove, C. J., Whatton, J. F.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Chloris sinica	USNM:641841	694	2
JF499103	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Chloris sinica	USNM:641858	694	2
JF499102	Gingles, M.	08-Apr-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Aythya marila	USNM:641825	694	2
JF499101	Gingles, M.	08-Apr-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Aythya marila	USNM:641826	694	2
JF499100	Gingles, M.	27-Mar-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Diamond Lake		34.1444 N 132.228 E	Aythya fuligula	USNM:641807	684	2
JF499099	Gingles, M.	08-Apr-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Aythya fuligula	USNM:641849	694	2
JF499098	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Ordinance Pond		34.1444 N 132.228 E	Aythya ferina	USNM:641838	694	2
JF499097	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Ordinance Pond		34.1444 N 132.228 E	Aythya ferina	USNM:641912	671	2
JF499096	Gingles, M.	06-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, new holding pond		34.1444 N 132.228 E	Ardea cinerea	USNM:641796	674	2
JF499095	Gingles, M.	30-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Ardea cinerea	USNM:641806	677	2
JF499094	Gingles, M.	20-May-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Ardea cinerea	USNM:641816	694	2
JF499093	Gingles, M.	12-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Ardea cinerea	USNM:641835	694	2
JF499092	Gingles, M.	22-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Diamond Lake		34.1444 N 132.228 E	Ardea alba	USNM:641853	675	2
JF499091	Gingles, M.	09-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, new holding pond		34.1444 N 132.228 E	Anas poecilorhyncha	USNM:641833	694	2
JF499090	Gingles, M.	14-Oct-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Anas poecilorhyncha	USNM:641847	694	2
JF499089	Gingles, M.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Anas poecilorhyncha	USNM:641870	692	2
JF499087	Gingles, M.	18-Dec-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Mareca penelope	USNM:641859	670	2
JF499086	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Anas crecca	USNM:641846	675	2
JF499085	Gingles, M.	09-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Anas clypeata	USNM:641832	675	2
JF499084	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Anas clypeata	USNM:641839	669	2
JF499083	Gingles, M.	06-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, west side of runway		34.1444 N 132.228 E	Anas clypeata	USNM:641856	675	2
JF499082	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Anas clypeata	USNM:641915	669	2
JF499081	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Alcedo atthis	USNM:641920	694	2
JF499080	Whatton, J. F.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Alauda arvensis	USNM:641821	668	2
JF499079	Dove, C. J., Whatton, J. F.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, dump		34.1444 N 132.228 E	Alauda arvensis	USNM:641840	669	2
JF499078	Dove, C. J., Whatton, J. F., Klope, M.	27-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Alauda arvensis	USNM:641871	684	2
JF499077	Dove, C. J., Whatton, J. F., Klope, M.	27-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Alauda arvensis	USNM:641872	684	2
JF499076	Dove, C. J., Whatton, J. F., Klope, M.	27-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Alauda arvensis	USNM:641873	684	2
JF499075	Gingles, M.	16-Oct-2008	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, 40 acre pond		34.1444 N 132.228 E	Actitis hypoleucos	USNM:641779	668	2
JF499074	Whatton, J. F.	20-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Acrocephalus orientalis	USNM:641820	694	2
JF498820	Young, D. E.	12-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Hoplopterus spinosus	USNM:641342	628	2
JF498818	Young, D. E.	14-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Hoplopterus spinosus	USNM:641362	526	2
JF498817	Ortiz, M. R.	02-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Vanellus indicus	USNM:641325	633	2
JF498816	Hayes, T.	20-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Vanellus indicus	USNM:641331	601	2
JF498815	Burley, R.	18-Sep-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Upupa epops	USNM:641357	666	2
JF498814	Ortiz, M. R.	02-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Tachybaptus ruficollis	USNM:641330	648	2
JF498813		14-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Sternula albifrons	USNM:641350	694	3
JF498812	Carrier, M.	02-Dec-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Pycnonotus leucogenis	USNM:641301	597	2
JF498811	Krause, M.	05-Dec-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Pycnonotus leucogenis	USNM:641302	576	2
JF498810	Gottlob, K. A.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Pycnonotus leucogenis	USNM:641338	648	2
JF498809		15-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Phylloscopus trochilus	USNM:641354	640	2
JF498808	Gottlob, K. A., Hyde, G.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Passer domesticus	USNM:641360	625	2
JF498807	Gottlob, K. A.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Passer domesticus	USNM:641363	585	2
JF498806	Gottlob, K. A.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Passer domesticus	USNM:641364	578	2
JF498805	Gottlob, K. A.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Passer domesticus	USNM:641365	593	2
JF498804	Ortiz, M. R.	17-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Passer domesticus	USNM:641367	593	2
JF498803	Jones, M. E.	27-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Oriolus oriolus	USNM:641322	639	2
JF498802	Holt, T., Ungerer, G.	12-Sep-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Oenanthe isabellina	USNM:641308	694	2
JF498801	Jones, D.	09-Oct-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Nycticorax nycticorax	USNM:641316	649	3
JF498800	Burley, R.	15-Sep-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Motacilla cinerea	USNM:641355	694	2
JF498797		01-Jul-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Merops superciliosus	USNM:641303	654	3
JF498796		01-Jul-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Merops superciliosus	USNM:641304	568	2
JF498795	Ortiz, M. R.	12-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Merops superciliosus	USNM:641326	644	2
JF498794	Ortiz, M. R.	12-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Merops superciliosus	USNM:641327	608	2
JF498793	Taylor, J. R.	14-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Chroicocephalus ridibundus	USNM:641343	619	2
JF498792	Ortiz, M. R.	05-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Chroicocephalus ridibundus	USNM:641345	631	2
JF498791	Patton, M.	17-Dec-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Larus armenicus	USNM:641339	664	2
JF498790	Burley, R.	08-Nov-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Larus armenicus	USNM:641340	666	2
JF498789	Holt, T., Ungerer, G.	12-Sep-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Lanius senator	USNM:641307	568	2
JF498788	Ortiz, M. R.	24-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Lanius senator	USNM:641337	657	2
JF498787	Ortiz, M. R.	01-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Lanius minor	USNM:641336	580	2
JF498786	Ortiz, M. R.	02-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Lanius excubitor	USNM:641328	694	2
JF498785	Holt, T., Ungerer, G.	12-Sep-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Lanius excubitor	USNM:641352	694	2
JF498784	Ortiz, M. R.	01-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Lanius collurio	USNM:641321	694	2
JF498783	Gottlob, K. A., Hyde, G.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Hirundo rustica	USNM:641332	600	2
JF498782	Gottlob, K. A., Hyde, G.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Hirundo rustica	USNM:641333	669	2
JF498781	Gottlob, K. A., Hyde, G.	22-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Hirundo rustica	USNM:641334	579	2
JF498780		15-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Himantopus himantopus	USNM:641368	627	2
JF498779	Ortiz, M. R.	21-Apr-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Halcyon smyrnensis	USNM:641324	586	2
JF498778	Ortiz, M. R.	02-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Glareola pratincola	USNM:641347	587	2
JF498777	Letchman, H.	31-Oct-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Galerida cristata	USNM:641309	583	2
JF498776	Holt, T., Ungerer, G.	12-Sep-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Galerida cristata	USNM:641310	533	2
JF498775	Ortiz, M. R.	01-May-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Galerida cristata	USNM:641335	605	2
JF498774	Young, D. E.	14-Mar-2008	Iraq: Muhafazat Salah ad Din, Joint Base Balad		33.9403 N 44.3614 E	Galerida cristata	USNM:641359	583	2
