scientific_name	count	max_intra	min_inter
Calonectris diomedea	1		0.07309000194072723
Calypte anna	1		0.039719998836517334
Calypte costae	1		0.039719998836517334
Campylorhynchus brunneicapillus	1		0.0791499987244606
Caprimulgus aegyptius	1		0.07118000090122223
Caprimulgus europaeus	2	0.0	0.07118000090122223
Caracara cheriway	1		0.11909999698400497
Cardellina canadensis	6	0.007205000147223473	0.04755000025033951
Cardellina pusilla	26	0.01728999987244606	0.04755000025033951
Cardinalis cardinalis	3	0.0030720001086592674	0.09063000231981277
Carduelis carduelis	4	0.004861999768763781	0.04475000128149986
Carpodacus erythrinus	5	0.007716000080108643	0.1023000031709671
Catharus bicknelli	2	0.0	0.010200000368058681
Catharus fuscescens	9	0.004621999803930521	0.012330000288784504
Catharus guttatus	14	0.031700000166893005	0.06750000268220901
Catharus minimus	9	0.0061160000041127205	0.010200000368058681
Catharus ustulatus	17	0.014410000294446945	0.06932000070810318
Centrocercus minimus	2	0.001534000039100647	0.007668999955058098
Centrocercus urophasianus	1		0.007668999955058098
Cepphus grylle	6	0.003114999970421195	0.09053999930620193
Certhia americana	4	0.033070001751184464	0.09077999740839005
Certhia familiaris	5	0.003085999982431531	0.09077999740839005
Chaetura vauxi	3	0.003215000033378601	0.09968999773263931
Chamaea fasciata	1		0.12290000170469284
Charadrius alexandrinus	2	0.0014410000294446945	0.07361999899148941
Charadrius dubius	4	0.003774000098928809	0.1046999990940094
Charadrius hiaticula	5	0.007751999888569117	0.08281999826431274
Charadrius leschenaultii	1		0.07514999806880951
Charadrius morinellus	4	0.0	0.10999999940395355
Charadrius semipalmatus	1		0.08281999826431274
Charadrius vociferus	1		0.0898900032043457
Charadrius wilsonia	1		0.07361999899148941
Chlidonias leucopterus	2	0.0	0.01413000002503395
Chlidonias niger	1		0.01413000002503395
Chloris chloris	3	0.003085999982431531	0.0354899987578392
Chloris sinica	2	0.0043230000883340836	0.0354899987578392
Chroicocephalus ridibundus	10	0.0050929998978972435	0.030249999836087227
Ciconia ciconia	2	0.0	0.09766999632120132
Cinclus cinclus	3	0.0	0.08837000280618668
Cinclus mexicanus	1		0.08837000280618668
Circus aeruginosus	3	0.003085999982431531	0.055560000240802765
Circus cyaneus	4	0.016669999808073044	0.06790000200271606
Circus macrourus	1		0.06790000200271606
Circus pygargus	2	0.0	0.055560000240802765
Cisticola juncidis	2	0.0015020000282675028	0.12439999729394913
Cistothorus palustris	4	0.018729999661445618	0.07050000131130219
Cistothorus platensis	6	0.07336000353097916	0.07050000131130219
Clangula hyemalis	3	0.0	0.0701799988746643
Coccothraustes coccothraustes	4	0.0015429999912157655	0.08654999732971191
Coccyzus americanus	1		0.13199999928474426
Colaptes auratus	1		0.10029999911785126
Colinus virginianus	1		0.1266999989748001
Columba livia	6	0.0031059999018907547	0.07277999818325043
Columba oenas	3	0.0015429999912157655	0.06925000250339508
Columba palumbus	4	0.0027030000928789377	0.06925000250339508
Columbina inca	1		0.11649999767541885
Contopus sordidulus	4	0.012029999867081642	0.10329999774694443
Contopus virens	1		0.08951999992132187
